2023-11-14T08:30:00, patient simulator, glucose-monitor-report, sugar-level, 153
2023-11-14T08:35:00, patient simulator, glucose-monitor-report, sugar-level, 183
2023-11-14T08:40:00, patient simulator, glucose-monitor-report, sugar-level, 114
2023-11-14T08:45:00, patient simulator, glucose-monitor-report, sugar-level, 122
2023-11-14T08:50:00, insulin pump, Start-Infusion, infusion-amount, 17
2023-11-14T08:55:00, insulin pump, Start-Infusion, infusion-amount, 7
2023-11-14T09:00:00, insulin pump, Start-Infusion, infusion-amount, 6
2023-11-14T09:05:00, insulin pump, Start-Infusion, infusion-amount, 14
2023-11-14T09:10:00, insulin pump, Start-Infusion, infusion-amount, 15
2023-11-14T09:15:00, insulin pump, Start-Infusion, infusion-amount, 14
2023-11-14T09:20:00, patient simulator, glucose-monitor-report, sugar-level, 198
2023-11-14T09:25:00, insulin pump, Start-Infusion, infusion-amount, 12
2023-11-14T09:30:00, insulin pump, Start-Infusion, infusion-amount, 19
2023-11-14T09:35:00, insulin pump, Start-Infusion, infusion-amount, 16
2023-11-14T09:40:00, patient simulator, glucose-monitor-report, sugar-level, 179
2023-11-14T09:45:00, patient simulator, glucose-monitor-report, sugar-level, 145
2023-11-14T09:50:00, patient simulator, glucose-monitor-report, sugar-level, 126
2023-11-14T09:55:00, insulin pump, Start-Infusion, infusion-amount, 8
2023-11-14T10:00:00, patient simulator, glucose-monitor-report, sugar-level, 135
2023-11-14T10:05:00, patient simulator, glucose-monitor-report, sugar-level, 171
2023-11-14T10:10:00, insulin pump, Start-Infusion, infusion-amount, 8
2023-11-14T10:15:00, patient simulator, glucose-monitor-report, sugar-level, 135
2023-11-14T10:20:00, patient simulator, glucose-monitor-report, sugar-level, 184
2023-11-14T10:25:00, insulin pump, Start-Infusion, infusion-amount, 9
2023-11-14T10:30:00, patient simulator, glucose-monitor-report, sugar-level, 196
2023-11-14T10:35:00, patient simulator, glucose-monitor-report, sugar-level, 148
2023-11-14T10:40:00, patient simulator, glucose-monitor-report, sugar-level, 154
2023-11-14T10:45:00, patient simulator, glucose-monitor-report, sugar-level, 169
2023-11-14T10:50:00, patient simulator, glucose-monitor-report, sugar-level, 189
2023-11-14T10:55:00, patient simulator, glucose-monitor-report, sugar-level, 124
2023-11-14T11:00:00, patient simulator, glucose-monitor-report, sugar-level, 111
2023-11-14T11:05:00, patient simulator, glucose-monitor-report, sugar-level, 101
2023-11-14T11:10:00, patient simulator, glucose-monitor-report, sugar-level, 144
2023-11-14T11:15:00, insulin pump, Start-Infusion, infusion-amount, 12
2023-11-14T11:20:00, patient simulator, glucose-monitor-report, sugar-level, 191
2023-11-14T11:25:00, patient simulator, glucose-monitor-report, sugar-level, 190
2023-11-14T11:30:00, patient simulator, glucose-monitor-report, sugar-level, 122
2023-11-14T11:35:00, patient simulator, glucose-monitor-report, sugar-level, 135
2023-11-14T11:40:00, patient simulator, glucose-monitor-report, sugar-level, 108
2023-11-14T11:45:00, patient simulator, glucose-monitor-report, sugar-level, 107
2023-11-14T11:50:00, insulin pump, Start-Infusion, infusion-amount, 13
2023-11-14T11:55:00, patient simulator, glucose-monitor-report, sugar-level, 107
2023-11-14T12:00:00, patient simulator, glucose-monitor-report, sugar-level, 128
2023-11-14T12:05:00, patient simulator, glucose-monitor-report, sugar-level, 175
2023-11-14T12:10:00, patient simulator, glucose-monitor-report, sugar-level, 173
2023-11-14T12:15:00, patient simulator, glucose-monitor-report, sugar-level, 192
2023-11-14T12:20:00, patient simulator, glucose-monitor-report, sugar-level, 153
2023-11-14T12:25:00, insulin pump, Start-Infusion, infusion-amount, 15
2023-11-14T12:30:00, patient simulator, glucose-monitor-report, sugar-level, 182
2023-11-14T12:35:00, patient simulator, glucose-monitor-report, sugar-level, 108
