2023-11-14T08:30:00, patient simulator, glucose-monitor-report, sugar-level, 104
2023-11-14T08:35:00, patient simulator, glucose-monitor-report, sugar-level, 130
2023-11-14T08:40:00, insulin pump, Start-Infusion, infusion-amount, 6
2023-11-14T08:45:00, patient simulator, glucose-monitor-report, sugar-level, 178
2023-11-14T08:50:00, insulin pump, Start-Infusion, infusion-amount, 16
2023-11-14T08:55:00, patient simulator, glucose-monitor-report, sugar-level, 173
2023-11-14T09:00:00, patient simulator, glucose-monitor-report, sugar-level, 200
2023-11-14T09:05:00, insulin pump, Start-Infusion, infusion-amount, 18
2023-11-14T12:10:00, patient simulator, glucose-monitor-report-start, sugar-level, -1
2023-11-14T09:10:00, patient simulator, glucose-monitor-report, sugar-level, 111
2023-11-14T09:15:00, patient simulator, glucose-monitor-report, sugar-level, 125
2023-11-14T09:20:00, insulin pump, Start-Infusion, infusion-amount, 9
2023-11-14T09:25:00, patient simulator, glucose-monitor-report, sugar-level, 127
2023-11-14T09:30:00, patient simulator, glucose-monitor-report, sugar-level, 119
2023-11-14T09:35:00, patient simulator, glucose-monitor-report, sugar-level, 152
2023-11-14T09:40:00, insulin pump, Start-Infusion, infusion-amount, 13
2023-11-14T09:45:00, patient simulator, glucose-monitor-report, sugar-level, 187
2023-11-14T09:50:00, insulin pump, Start-Infusion, infusion-amount, 14
2023-11-14T09:55:00, insulin pump, Start-Infusion, infusion-amount, 19
2023-11-14T12:10:00, patient simulator, glucose-monitor-report-end, sugar-level, -1
2023-11-14T10:00:00, patient simulator, glucose-monitor-report, sugar-level, 140
2023-11-14T10:05:00, insulin pump, Start-Infusion, infusion-amount, 20
2023-11-14T10:10:00, insulin pump, Start-Infusion, infusion-amount, 8
2023-11-14T10:15:00, patient simulator, glucose-monitor-report, sugar-level, 192
2023-11-14T10:20:00, patient simulator, glucose-monitor-report, sugar-level, 111
2023-11-14T10:25:00, insulin pump, Start-Infusion, infusion-amount, 19
2023-11-14T10:30:00, patient simulator, glucose-monitor-report, sugar-level, 194
2023-11-14T10:35:00, insulin pump, Start-Infusion, infusion-amount, 14
2023-11-14T10:40:00, patient simulator, glucose-monitor-report, sugar-level, 104
2023-11-14T10:45:00, insulin pump, Start-Infusion, infusion-amount, 6
2023-11-14T10:50:00, patient simulator, glucose-monitor-report, sugar-level, 140
2023-11-14T10:55:00, patient simulator, glucose-monitor-report, sugar-level, 151
2023-11-14T11:00:00, patient simulator, glucose-monitor-report, sugar-level, 194
2023-11-14T11:05:00, insulin pump, Start-Infusion, infusion-amount, 12
2023-11-14T11:10:00, insulin pump, Start-Infusion, infusion-amount, 11
2023-11-14T11:15:00, patient simulator, glucose-monitor-report, sugar-level, 119
2023-11-14T11:20:00, insulin pump, Start-Infusion, infusion-amount, 5
2023-11-14T11:25:00, patient simulator, glucose-monitor-report, sugar-level, 149
2023-11-14T11:30:00, patient simulator, glucose-monitor-report, sugar-level, 128
2023-11-14T11:35:00, insulin pump, Start-Infusion, infusion-amount, 5
2023-11-14T11:40:00, insulin pump, Start-Infusion, infusion-amount, 11
2023-11-14T11:45:00, patient simulator, glucose-monitor-report, sugar-level, 151
2023-11-14T11:50:00, patient simulator, glucose-monitor-report, sugar-level, 114
2023-11-14T11:55:00, insulin pump, Start-Infusion, infusion-amount, 17
2023-11-14T12:00:00, insulin pump, Start-Infusion, infusion-amount, 7
2023-11-14T12:05:00, insulin pump, Start-Infusion, infusion-amount, 14
2023-11-14T12:10:00, patient simulator, glucose-monitor-report-start, sugar-level, -1
2023-11-14T12:10:00, patient simulator, glucose-monitor-report, sugar-level, 142
2023-11-14T12:15:00, patient simulator, glucose-monitor-report, sugar-level, 131
2023-11-14T12:20:00, patient simulator, glucose-monitor-report, sugar-level, 125
2023-11-14T12:25:00, insulin pump, Start-Infusion, infusion-amount, 18
2023-11-14T12:30:00, insulin pump, Start-Infusion, infusion-amount, 8
2023-11-14T12:10:00, patient simulator, glucose-monitor-report-end, sugar-level, -1
2023-11-14T12:35:00, patient simulator, glucose-monitor-report, sugar-level, 124



